StudentID,IssueDate,DueDate,ReturnDate,FineAmount,RenewalCount,ReservationStatus,BookID
S8572,11/04/2022,25/04/2022,12/05/2022,170,1,Not Reserved,B1064
S3049,12/01/2022,26/01/2022,26/01/2022,0,2,Not Reserved,B0127
S1983,02/09/2022,16/09/2022,16/09/2022,0,3,Reserved,B0376
S9043,09/12/2024,23/12/2024,23/12/2024,0,2,Waiting,B0894
S7822,15/11/2023,29/11/2023,24/12/2023,250,1,Available,B0310
S4863,06/07/2022,20/07/2022,20/07/2022,0,3,Not Reserved,B0215
S4325,11/01/2024,25/01/2024,25/01/2024,0,0,Available,B0770
S5777,20/08/2024,03/09/2024,30/09/2024,270,3,Not Reserved,B0952
S2391,04/05/2023,18/05/2023,18/05/2023,0,2,Reserved,B0861
S8829,28/03/2023,11/04/2023,11/04/2023,0,1,Not Reserved,B0250
S5559,22/07/2023,05/08/2023,05/08/2023,0,2,Reserved,B0219
S6639,21/11/2023,05/12/2023,05/12/2023,0,0,Reserved,B0083
S8571,29/04/2022,13/05/2022,13/05/2022,0,1,Waiting,B0724
S3877,17/02/2023,03/03/2023,03/03/2023,0,3,Not Reserved,B0370
S3561,15/06/2024,29/06/2024,29/07/2024,300,1,Available,B0443
S6031,24/09/2023,08/10/2023,24/09/2023,0,0,Reserved,B0513
S6002,19/06/2023,03/07/2023,03/07/2023,0,0,Available,B0196
S9481,27/08/2023,10/09/2023,10/09/2023,0,0,Available,B0241
S8670,23/10/2023,06/11/2023,06/11/2023,0,3,Not Reserved,B0478
S5758,04/03/2023,18/03/2023,08/03/2023,0,1,Not Reserved,B0445
S3078,30/11/2023,14/12/2023,14/12/2023,0,3,Available,B0916
S0791,10/10/2024,24/10/2024,24/10/2024,0,0,Not Reserved,B0610
S10040,29/01/2022,12/02/2022,25/01/2022,0,3,Reserved,B0412
S9903,18/07/2023,01/08/2023,01/08/2023,0,2,Available,B0778
S5916,05/12/2023,19/12/2023,12/12/2023,0,3,Not Reserved,B0295
S1509,07/12/2023,21/12/2023,21/12/2023,0,3,Available,B0713
S8213,08/07/2022,22/07/2022,07/07/2022,0,1,Reserved,B0990
S6251,14/11/2022,28/11/2022,28/11/2022,0,0,Waiting,B0674
S9978,28/11/2023,12/12/2023,07/01/2024,260,3,Reserved,B1080
S1094,31/08/2022,14/09/2022,28/09/2022,140,2,Not Reserved,B0707
S9970,02/05/2023,16/05/2023,09/05/2023,0,1,Reserved,B1057
S2202,10/02/2023,24/02/2023,24/02/2023,0,3,Waiting,B0306
S7408,06/07/2023,20/07/2023,20/07/2023,0,3,Reserved,B0307
S3834,31/07/2023,14/08/2023,14/08/2023,0,3,Not Reserved,B0319
S5118,01/05/2023,15/05/2023,15/05/2023,0,0,Not Reserved,B1013
S7425,02/10/2023,16/10/2023,16/10/2023,0,1,Not Reserved,B0750
S2860,27/12/2022,10/01/2023,10/01/2023,0,3,Reserved,B0699
S5698,30/05/2024,13/06/2024,13/06/2024,0,1,Not Reserved,B0930
S5174,28/03/2022,11/04/2022,11/04/2022,0,0,Available,B0274
S0272,20/02/2024,05/03/2024,05/03/2024,0,3,Waiting,B0153
S3662,22/06/2022,06/07/2022,06/07/2022,0,3,Reserved,B0205
S5149,16/10/2023,30/10/2023,21/10/2023,0,3,Not Reserved,B0910
S8633,15/10/2023,29/10/2023,23/11/2023,250,1,Reserved,B0511
S0552,22/06/2024,06/07/2024,06/07/2024,0,0,Waiting,B0479
S8158,14/11/2024,28/11/2024,28/11/2024,0,2,Available,B0417
S4582,17/10/2024,31/10/2024,30/11/2024,300,0,Waiting,B0545
S7757,05/02/2024,19/02/2024,16/02/2024,0,2,Not Reserved,B0915
S6039,22/10/2024,05/11/2024,27/10/2024,0,3,Not Reserved,B0892
S8393,22/03/2024,05/04/2024,18/03/2024,0,1,Available,B0674
S5772,04/11/2023,18/11/2023,18/11/2023,0,1,Available,B1044
S7476,02/04/2023,16/04/2023,16/04/2023,0,2,Not Reserved,B0688
S7012,06/07/2024,20/07/2024,08/07/2024,0,0,Available,B0945
S0565,07/02/2022,21/02/2022,21/02/2022,0,1,Available,B0230
S4880,29/10/2024,12/11/2024,05/11/2024,0,1,Available,B1103
S4941,31/07/2022,14/08/2022,14/08/2022,0,0,Reserved,B0329
S1897,14/09/2023,28/09/2023,24/10/2023,260,3,Waiting,B0755
S8394,07/05/2024,21/05/2024,22/04/2024,0,2,Not Reserved,B1092
S0401,12/02/2023,26/02/2023,26/02/2023,0,2,Reserved,B0476
S8171,21/09/2023,05/10/2023,14/09/2023,0,1,Available,B0354
S8425,10/12/2023,24/12/2023,18/01/2024,250,3,Available,B0584
S7739,22/08/2022,05/09/2022,05/09/2022,0,3,Reserved,B0353
S8864,03/09/2024,17/09/2024,10/10/2024,230,1,Not Reserved,B0540
S6716,19/01/2024,02/02/2024,02/02/2024,0,2,Waiting,B0228
S6900,10/03/2022,24/03/2022,14/04/2022,210,3,Available,B0907
S6274,01/04/2024,15/04/2024,15/04/2024,0,1,Not Reserved,B0171
S7575,10/09/2023,24/09/2023,24/09/2023,0,0,Available,B0303
S6550,09/05/2023,23/05/2023,06/05/2023,0,1,Reserved,B0898
S9800,17/03/2024,31/03/2024,19/04/2024,190,1,Not Reserved,B0333
S1179,27/09/2022,11/10/2022,11/10/2022,0,2,Not Reserved,B0391
S5264,26/02/2024,11/03/2024,02/04/2024,220,1,Not Reserved,B0838
S3561,31/10/2024,14/11/2024,28/11/2024,140,3,Reserved,B0267
S10131,30/12/2023,13/01/2024,13/01/2024,0,0,Available,B0779
S4907,12/04/2022,26/04/2022,26/04/2022,0,2,Reserved,B0557
S8662,26/03/2022,09/04/2022,04/04/2022,0,2,Available,B0548
S5835,17/06/2022,01/07/2022,23/06/2022,0,3,Reserved,B0880
S7047,02/08/2024,16/08/2024,16/08/2024,0,1,Not Reserved,B0624
S5261,03/02/2023,17/02/2023,17/02/2023,0,3,Not Reserved,B0890
S8551,20/06/2023,04/07/2023,04/07/2023,0,2,Reserved,B0388
S5827,04/03/2023,18/03/2023,14/03/2023,0,2,Available,B0426
S7344,04/07/2023,18/07/2023,18/07/2023,0,0,Reserved,B0479
S1947,14/11/2024,28/11/2024,28/11/2024,0,1,Reserved,B0334
S1434,05/05/2024,19/05/2024,19/05/2024,0,2,Waiting,B0397
S7711,03/01/2024,17/01/2024,08/02/2024,220,0,Not Reserved,B1010
S6836,08/09/2023,22/09/2023,08/10/2023,160,3,Not Reserved,B0967
S5895,21/11/2024,05/12/2024,05/12/2024,0,2,Not Reserved,B0597
S1474,22/04/2024,06/05/2024,06/05/2024,0,2,Reserved,B0394
S5272,27/03/2022,10/04/2022,10/04/2022,0,2,Reserved,B1040
S2163,04/11/2022,18/11/2022,11/12/2022,230,2,Reserved,B0442
S4222,10/08/2024,24/08/2024,24/08/2024,0,3,Available,B0812
S6603,01/03/2023,15/03/2023,04/04/2023,200,1,Not Reserved,B0821
S8859,03/09/2023,17/09/2023,17/09/2023,0,0,Waiting,B0414
S7443,09/09/2024,23/09/2024,23/09/2024,0,3,Not Reserved,B1033
S1600,08/08/2023,22/08/2023,22/08/2023,0,2,Reserved,B0270
S7332,22/11/2024,06/12/2024,06/12/2024,0,1,Reserved,B0787
S4527,21/10/2023,04/11/2023,04/11/2023,0,1,Reserved,B0802
S10014,08/05/2023,22/05/2023,25/04/2023,0,3,Not Reserved,B0195
S3438,05/05/2024,19/05/2024,19/05/2024,0,3,Waiting,B0205
S7290,05/07/2022,19/07/2022,19/07/2022,0,2,Reserved,B1048
S1325,04/03/2023,18/03/2023,18/03/2023,0,2,Not Reserved,B0349
S9416,21/02/2023,07/03/2023,03/04/2023,270,1,Waiting,B0856
S7050,22/12/2022,05/01/2023,08/01/2023,30,0,Not Reserved,B1062
S4552,17/01/2024,31/01/2024,31/01/2024,0,0,Available,B0307
S6114,10/09/2023,24/09/2023,19/10/2023,250,2,Reserved,B1095
S7658,08/03/2023,22/03/2023,22/03/2023,0,0,Available,B0892
S1662,18/04/2022,02/05/2022,02/05/2022,0,1,Reserved,B0408
S0619,08/08/2024,22/08/2024,08/09/2024,170,3,Available,B0995
S1844,12/11/2023,26/11/2023,26/11/2023,0,2,Not Reserved,B0982
S3114,24/07/2024,07/08/2024,07/08/2024,0,3,Reserved,B0458
S7583,07/04/2022,21/04/2022,19/05/2022,280,1,Not Reserved,B0307
S7291,01/05/2023,15/05/2023,03/06/2023,190,2,Reserved,B0402
S8443,10/04/2022,24/04/2022,26/03/2022,0,0,Waiting,B1080
S3949,03/11/2022,17/11/2022,30/10/2022,0,2,Reserved,B0223
S5420,18/02/2022,04/03/2022,28/03/2022,240,3,Reserved,B1085
S10155,06/02/2023,20/02/2023,01/02/2023,0,1,Available,B0925
S5357,15/02/2024,29/02/2024,02/02/2024,0,2,Available,B0403
S1934,23/06/2022,07/07/2022,07/07/2022,0,1,Reserved,B1165
S0540,03/06/2024,17/06/2024,17/06/2024,0,0,Reserved,B0669
S9505,12/10/2023,26/10/2023,06/11/2023,110,1,Not Reserved,B0817
S6822,16/11/2024,30/11/2024,30/11/2024,0,3,Reserved,B1022
S2524,15/02/2022,01/03/2022,31/01/2022,0,2,Not Reserved,B0643
S3573,12/10/2023,26/10/2023,26/10/2023,0,3,Reserved,B0422
S4685,07/02/2024,21/02/2024,21/02/2024,0,3,Reserved,B0863
S1349,08/11/2023,22/11/2023,22/11/2023,0,1,Not Reserved,B0517
S7251,24/06/2024,08/07/2024,08/07/2024,0,0,Available,B0362
S8337,12/09/2024,26/09/2024,26/09/2024,0,3,Reserved,B1029
S10193,19/12/2022,02/01/2023,11/12/2022,0,2,Available,B0317
S0720,12/07/2022,26/07/2022,05/07/2022,0,2,Reserved,B0918
S6980,22/02/2023,08/03/2023,11/02/2023,0,3,Reserved,B0606
S8331,08/09/2022,22/09/2022,23/08/2022,0,2,Reserved,B0268
S9427,27/10/2024,10/11/2024,10/11/2024,0,3,Reserved,B0468
S9487,03/10/2022,17/10/2022,08/10/2022,0,0,Not Reserved,B1062
S4768,28/07/2022,11/08/2022,31/08/2022,200,0,Available,B0529
S3712,22/02/2022,08/03/2022,08/03/2022,0,3,Available,B0443
S8215,21/01/2024,04/02/2024,04/02/2024,0,3,Reserved,B0434
S4793,27/02/2024,12/03/2024,12/03/2024,0,2,Not Reserved,B1086
S5170,09/05/2024,23/05/2024,18/05/2024,0,1,Not Reserved,B0737
S4276,20/04/2023,04/05/2023,04/05/2023,0,3,Waiting,B0863
S4139,05/12/2023,19/12/2023,19/12/2023,0,1,Available,B0385
S1673,05/01/2022,19/01/2022,19/01/2022,0,1,Waiting,B0278
S0662,13/04/2024,27/04/2024,27/04/2024,0,3,Waiting,B0471
S6770,13/01/2024,27/01/2024,25/01/2024,0,2,Not Reserved,B1110
S5556,21/05/2024,04/06/2024,09/05/2024,0,2,Available,B0329
S6061,02/05/2022,16/05/2022,16/05/2022,0,0,Available,B0785
S2916,14/06/2022,28/06/2022,04/06/2022,0,2,Not Reserved,B0442
S3380,06/03/2023,20/03/2023,20/03/2023,0,2,Not Reserved,B1107
S1830,05/04/2024,19/04/2024,19/04/2024,0,2,Available,B1130
S6051,17/07/2022,31/07/2022,31/07/2022,0,0,Reserved,B0911
S3167,15/03/2022,29/03/2022,29/03/2022,0,3,Not Reserved,B0348
S6150,01/02/2024,15/02/2024,15/02/2024,0,0,Reserved,B1022
S6956,11/07/2024,25/07/2024,25/07/2024,0,3,Reserved,B0749
S7337,19/07/2023,02/08/2023,02/08/2023,0,2,Available,B0864
S9947,15/10/2024,29/10/2024,29/10/2024,0,1,Waiting,B0648
S8643,16/06/2022,30/06/2022,12/07/2022,120,0,Reserved,B1056
S8365,25/05/2023,08/06/2023,30/05/2023,0,3,Not Reserved,B0967
S8178,09/01/2024,23/01/2024,25/12/2023,0,3,Waiting,B0873
S6847,13/01/2023,27/01/2023,27/01/2023,0,3,Waiting,B0901
S1344,07/06/2022,21/06/2022,06/07/2022,150,2,Not Reserved,B0688
S1181,04/02/2024,18/02/2024,18/02/2024,0,1,Reserved,B1053
S1478,20/06/2024,04/07/2024,04/07/2024,0,1,Reserved,B1111
S3247,09/11/2024,23/11/2024,23/11/2024,0,0,Not Reserved,B0900
S4930,04/12/2024,18/12/2024,04/01/2025,170,0,Available,B1123
S7871,17/08/2022,31/08/2022,31/08/2022,0,1,Reserved,B0440
S5454,30/04/2023,14/05/2023,17/05/2023,30,2,Not Reserved,B1163
S4346,10/06/2024,24/06/2024,24/06/2024,0,2,Reserved,B0778
S7397,18/02/2022,04/03/2022,16/02/2022,0,3,Available,B1198
S8140,11/01/2022,25/01/2022,27/01/2022,20,3,Not Reserved,B0905
S10182,26/04/2022,10/05/2022,16/05/2022,60,0,Reserved,B1023
S0734,29/06/2023,13/07/2023,13/07/2023,0,3,Reserved,B0719
S1412,16/02/2024,01/03/2024,01/03/2024,0,3,Available,B0890
S2948,03/12/2022,17/12/2022,30/11/2022,0,1,Not Reserved,B0989
S5232,24/07/2022,07/08/2022,27/07/2022,0,3,Available,B0291
S6530,22/08/2023,05/09/2023,09/09/2023,40,2,Not Reserved,B0798
S9104,25/04/2024,09/05/2024,09/05/2024,0,3,Available,B1120
S5556,23/08/2022,06/09/2022,06/09/2022,0,2,Waiting,B0338
S7957,11/03/2024,25/03/2024,15/03/2024,0,2,Available,B0278
S8967,02/11/2023,16/11/2023,16/11/2023,0,3,Not Reserved,B0379
S5154,19/02/2023,05/03/2023,05/03/2023,0,2,Waiting,B0741
S8176,17/12/2023,31/12/2023,31/12/2023,0,0,Reserved,B0317
S6526,06/05/2023,20/05/2023,20/05/2023,0,3,Available,B1206
S4195,07/04/2023,21/04/2023,21/04/2023,0,1,Not Reserved,B1154
S4949,07/03/2023,21/03/2023,21/03/2023,0,2,Available,B0814
S5765,29/06/2023,13/07/2023,06/07/2023,0,3,Not Reserved,B0548
S0256,13/05/2024,27/05/2024,25/06/2024,290,0,Not Reserved,B0654
S8975,24/05/2022,07/06/2022,07/06/2022,0,2,Available,B1095
S6189,08/10/2024,22/10/2024,22/10/2024,0,0,Reserved,B0760
S7018,14/06/2024,28/06/2024,28/06/2024,0,3,Available,B0631
S8922,02/09/2023,16/09/2023,29/09/2023,130,2,Reserved,B1088
S3845,20/09/2023,04/10/2023,24/10/2023,200,1,Not Reserved,B0672
S7425,22/09/2022,06/10/2022,22/10/2022,160,0,Available,B0540
S10223,22/02/2023,08/03/2023,25/03/2023,170,1,Available,B0803
S0314,22/01/2023,05/02/2023,13/02/2023,80,1,Waiting,B0472
S3838,27/02/2022,13/03/2022,13/03/2022,0,3,Not Reserved,B0263
S9954,11/02/2023,25/02/2023,17/02/2023,0,0,Not Reserved,B0271
S7939,02/11/2022,16/11/2022,16/11/2022,0,1,Available,B1211
S5382,20/11/2023,04/12/2023,14/11/2023,0,1,Available,B0852
S7839,24/06/2024,08/07/2024,08/07/2024,0,0,Reserved,B1165
S4593,03/01/2024,17/01/2024,17/01/2024,0,1,Reserved,B1039
S9144,27/02/2024,12/03/2024,09/03/2024,0,3,Available,B1170
S1736,14/02/2023,28/02/2023,28/02/2023,0,0,Not Reserved,B0886
S5537,03/05/2022,17/05/2022,17/05/2022,0,2,Reserved,B0376
S8299,16/09/2022,30/09/2022,02/10/2022,20,0,Not Reserved,B1201
S2781,08/04/2023,22/04/2023,20/04/2023,0,1,Available,B0376
S1436,27/06/2024,11/07/2024,26/07/2024,150,0,Reserved,B0294
S2680,27/07/2022,10/08/2022,26/08/2022,160,2,Not Reserved,B0809
S6280,01/03/2023,15/03/2023,15/03/2023,0,3,Reserved,B0317
S9644,19/11/2023,03/12/2023,03/12/2023,0,0,Not Reserved,B0380
S4767,23/09/2024,07/10/2024,07/10/2024,0,1,Reserved,B0708
S0284,14/04/2023,28/04/2023,28/04/2023,0,1,Not Reserved,B0919
S5290,16/08/2023,30/08/2023,21/08/2023,0,1,Reserved,B0654
S5826,07/11/2023,21/11/2023,07/11/2023,0,0,Waiting,B0357
S6425,27/10/2022,10/11/2022,10/11/2022,0,3,Not Reserved,B0402
S9035,30/05/2023,13/06/2023,13/06/2023,0,0,Reserved,B0917
S9356,13/05/2023,27/05/2023,27/05/2023,0,0,Not Reserved,B0586
S2634,19/09/2024,03/10/2024,09/09/2024,0,1,Not Reserved,B0600
S1731,19/10/2023,02/11/2023,02/11/2023,0,0,Available,B0877
S6950,05/02/2023,19/02/2023,18/02/2023,0,3,Waiting,B0816
S5152,15/03/2022,29/03/2022,29/03/2022,0,1,Available,B0848
S9695,24/07/2023,07/08/2023,07/08/2023,0,0,Available,B0908
S8625,29/05/2024,12/06/2024,04/07/2024,220,2,Not Reserved,B1219
S1909,21/01/2023,04/02/2023,04/02/2023,0,3,Waiting,B0531
S8174,08/11/2022,22/11/2022,05/12/2022,130,0,Available,B1286
S8337,27/03/2024,10/04/2024,18/04/2024,80,0,Available,B0994
S10062,20/02/2022,06/03/2022,06/03/2022,0,1,Waiting,B1014
S6264,21/01/2024,04/02/2024,30/01/2024,0,1,Not Reserved,B0873
S3380,01/07/2024,15/07/2024,15/07/2024,0,3,Available,B0932
S2439,19/04/2024,03/05/2024,03/05/2024,0,0,Available,B0709
S9159,11/06/2023,25/06/2023,25/06/2023,0,2,Reserved,B0518
S5647,21/10/2023,04/11/2023,09/11/2023,50,2,Waiting,B0575
S9667,23/04/2022,07/05/2022,07/05/2022,0,1,Not Reserved,B0820
S5806,25/02/2024,10/03/2024,23/02/2024,0,0,Not Reserved,B0517
S4622,18/05/2022,01/06/2022,29/06/2022,280,0,Available,B1039
S1445,21/11/2024,05/12/2024,23/12/2024,180,2,Reserved,B0308
S8146,30/05/2023,13/06/2023,13/06/2023,0,2,Not Reserved,B0819
S9023,06/05/2022,20/05/2022,14/05/2022,0,0,Not Reserved,B0706
S10230,16/01/2022,30/01/2022,23/02/2022,240,3,Available,B0912
S0879,28/08/2024,11/09/2024,29/09/2024,180,3,Available,B1105
S6090,25/03/2023,08/04/2023,08/04/2023,0,3,Waiting,B0394
S7209,18/01/2023,01/02/2023,01/02/2023,0,3,Not Reserved,B0453
S3631,15/10/2024,29/10/2024,29/10/2024,0,3,Available,B0458
S0564,26/10/2022,09/11/2022,11/10/2022,0,3,Not Reserved,B0585
S6315,11/04/2024,25/04/2024,31/03/2024,0,3,Available,B0721
S4182,11/10/2022,25/10/2022,25/10/2022,0,2,Not Reserved,B1227
S4771,10/09/2024,24/09/2024,24/09/2024,0,3,Waiting,B0932
S9392,07/06/2022,21/06/2022,08/06/2022,0,0,Reserved,B0582
S0820,21/11/2023,05/12/2023,05/12/2023,0,2,Waiting,B0483
S0605,26/03/2023,09/04/2023,26/04/2023,170,0,Not Reserved,B0781
S3667,01/05/2023,15/05/2023,15/05/2023,0,2,Not Reserved,B0351
S7674,01/06/2022,15/06/2022,15/06/2022,0,0,Not Reserved,B0753
S4104,10/03/2024,24/03/2024,24/03/2024,0,2,Available,B0933
S4459,26/11/2024,10/12/2024,10/12/2024,0,2,Available,B1098
S5574,03/07/2023,17/07/2023,03/08/2023,170,2,Not Reserved,B0538
S6095,17/06/2023,01/07/2023,27/07/2023,260,3,Waiting,B0758
S1866,08/07/2023,22/07/2023,22/07/2023,0,1,Available,B0324
S9033,27/03/2024,10/04/2024,10/04/2024,0,0,Not Reserved,B0494
S7810,19/05/2023,02/06/2023,02/06/2023,0,1,Not Reserved,B0582
S0724,27/02/2022,13/03/2022,16/02/2022,0,1,Reserved,B0867
S8009,05/02/2024,19/02/2024,19/02/2024,0,3,Reserved,B0919
S6380,20/07/2023,03/08/2023,21/07/2023,0,2,Reserved,B1022
S9382,11/07/2022,25/07/2022,20/07/2022,0,2,Available,B1167
S0331,28/05/2022,11/06/2022,06/06/2022,0,3,Not Reserved,B0902
S8530,18/02/2024,03/03/2024,08/02/2024,0,2,Reserved,B1154
S9949,04/01/2024,18/01/2024,25/12/2023,0,2,Waiting,B1112
S4614,11/05/2023,25/05/2023,25/05/2023,0,1,Available,B1057
S7114,30/12/2024,13/01/2025,13/01/2025,0,3,Available,B1290
S5098,02/10/2023,16/10/2023,16/10/2023,0,1,Reserved,B0444
S10123,13/05/2022,27/05/2022,27/05/2022,0,2,Available,B0459
S8902,21/11/2023,05/12/2023,20/12/2023,150,1,Reserved,B0525
S6203,10/06/2024,24/06/2024,24/06/2024,0,2,Available,B0646
S9243,31/08/2023,14/09/2023,14/09/2023,0,2,Available,B0527
S4701,06/09/2024,20/09/2024,26/08/2024,0,1,Reserved,B0788
S9560,29/11/2022,13/12/2022,13/12/2022,0,2,Not Reserved,B0381
S7890,27/09/2022,11/10/2022,11/10/2022,0,3,Available,B0446
S9086,06/06/2022,20/06/2022,20/06/2022,0,1,Reserved,B0655
S0415,12/01/2023,26/01/2023,26/01/2023,0,1,Not Reserved,B1219
S3056,01/12/2023,15/12/2023,05/12/2023,0,2,Not Reserved,B0468
S9649,18/05/2024,01/06/2024,16/06/2024,150,3,Reserved,B0950
S0866,11/01/2023,25/01/2023,25/01/2023,0,0,Not Reserved,B0707
S6554,04/04/2022,18/04/2022,30/03/2022,0,2,Not Reserved,B0938
S4674,19/02/2023,05/03/2023,05/03/2023,0,0,Not Reserved,B1124
S7809,09/08/2024,23/08/2024,23/08/2024,0,0,Not Reserved,B1192
S5794,05/09/2024,19/09/2024,17/10/2024,280,0,Reserved,B0529
S10335,06/05/2023,20/05/2023,20/05/2023,0,3,Available,B0405
S5424,13/07/2024,27/07/2024,04/08/2024,80,3,Available,B0517
S7982,17/10/2024,31/10/2024,14/11/2024,140,0,Reserved,B1088
S7991,10/03/2022,24/03/2022,06/03/2022,0,0,Reserved,B0558
S8157,18/01/2022,01/02/2022,18/01/2022,0,0,Available,B0904
S3150,18/06/2022,02/07/2022,02/07/2022,0,1,Available,B0435
S9422,30/08/2022,13/09/2022,13/09/2022,0,0,Reserved,B0553
S9697,22/06/2022,06/07/2022,06/07/2022,0,2,Available,B0681
S7613,26/08/2022,09/09/2022,09/09/2022,0,0,Reserved,B1270
S1614,29/12/2024,12/01/2025,24/12/2024,0,0,Available,B0725
S1533,10/12/2024,24/12/2024,24/11/2024,0,3,Reserved,B0589
S2351,12/10/2023,26/10/2023,26/10/2023,0,1,Available,B0416
S2995,14/12/2022,28/12/2022,28/12/2022,0,1,Reserved,B0537
S9205,23/07/2024,06/08/2024,09/07/2024,0,0,Not Reserved,B0935
